x 	 u
0 	 0.000000 
1 	 0.045995 
2 	 0.090963 
3 	 0.133899 
4 	 0.173844 
5 	 0.209906 
6 	 0.241278 
7 	 0.267261 
8 	 0.287274 
9 	 0.300869 
10 	 0.307744 
11 	 0.307744 
12 	 0.300869 
13 	 0.287274 
14 	 0.267261 
15 	 0.241278 
16 	 0.209906 
17 	 0.173844 
18 	 0.133899 
19 	 0.090963 
20 	 0.045995 
21 	 0.000000 


x 	 u
0 	 0.000000 
1 	 -0.090963 
2 	 -0.173844 
3 	 -0.241278 
4 	 -0.287274 
5 	 -0.307744 
6 	 -0.300869 
7 	 -0.267261 
8 	 -0.209906 
9 	 -0.133899 
10 	 -0.045995 
11 	 0.045995 
12 	 0.133899 
13 	 0.209906 
14 	 0.267261 
15 	 0.300869 
16 	 0.307744 
17 	 0.287274 
18 	 0.241278 
19 	 0.173844 
20 	 0.090963 
21 	 0.000000 


x 	 u
0 	 0.000000 
1 	 -0.133899 
2 	 -0.241278 
3 	 -0.300869 
4 	 -0.300869 
5 	 -0.241278 
6 	 -0.133899 
7 	 0.000000 
8 	 0.133899 
9 	 0.241278 
10 	 0.300869 
11 	 0.300869 
12 	 0.241278 
13 	 0.133899 
14 	 -0.000000 
15 	 -0.133899 
16 	 -0.241278 
17 	 -0.300869 
18 	 -0.300869 
19 	 -0.241278 
20 	 -0.133899 
21 	 0.000000 


