# x 	 f(x)
0 	 0
0.01 	 -0.00245
0.02 	 -0.0048
0.03 	 -0.00705
0.04 	 -0.0092
0.05 	 -0.01125
0.06 	 -0.0132
0.07 	 -0.01505
0.08 	 -0.0168
0.09 	 -0.01845
0.1 	 -0.02
0.11 	 -0.02145
0.12 	 -0.0228
0.13 	 -0.02405
0.14 	 -0.0252
0.15 	 -0.02625
0.16 	 -0.0272
0.17 	 -0.02805
0.18 	 -0.0288
0.19 	 -0.02945
0.2 	 -0.03
0.21 	 -0.03045
0.22 	 -0.0308
0.23 	 -0.03105
0.24 	 -0.0312
0.25 	 -0.03125
0.26 	 -0.0312
0.27 	 -0.03105
0.28 	 -0.0308
0.29 	 -0.03045
0.3 	 -0.03
0.31 	 -0.02945
0.32 	 -0.0288
0.33 	 -0.02805
0.34 	 -0.0272
0.35 	 -0.02625
0.36 	 -0.0252
0.37 	 -0.02405
0.38 	 -0.0228
0.39 	 -0.02145
0.4 	 -0.02
0.41 	 -0.01845
0.42 	 -0.0168
0.43 	 -0.01505
0.44 	 -0.0132
0.45 	 -0.01125
0.46 	 -0.0092
0.47 	 -0.00705
0.48 	 -0.0048
0.49 	 -0.00245
0.5 	 5.55112e-17
0.51 	 0.00255
0.52 	 0.0052
0.53 	 0.00795
0.54 	 0.0108
0.55 	 0.01375
0.56 	 0.0168
0.57 	 0.01995
0.58 	 0.0232
0.59 	 0.02655
0.6 	 0.03
0.61 	 0.03355
0.62 	 0.0372
0.63 	 0.04095
0.64 	 0.0448
0.65 	 0.04875
0.66 	 0.0528
0.67 	 0.05695
0.68 	 0.0612
0.69 	 0.06555
0.7 	 0.07
0.71 	 0.07455
0.72 	 0.0792
0.73 	 0.08395
0.74 	 0.0888
0.75 	 0.09375
0.76 	 0.0988
0.77 	 0.10395
0.78 	 0.1092
0.79 	 0.11455
0.8 	 0.12
0.81 	 0.12555
0.82 	 0.1312
0.83 	 0.13695
0.84 	 0.1428
0.85 	 0.14875
0.86 	 0.1548
0.87 	 0.16095
0.88 	 0.1672
0.89 	 0.17355
0.9 	 0.18
0.91 	 0.18655
0.92 	 0.1932
0.93 	 0.19995
0.94 	 0.2068
0.95 	 0.21375
0.96 	 0.2208
0.97 	 0.22795
0.98 	 0.2352
0.99 	 0.24255
1 	 0.25
1.01 	 0.25755
1.02 	 0.2652
1.03 	 0.27295
1.04 	 0.2808
1.05 	 0.28875
1.06 	 0.2968
1.07 	 0.30495
1.08 	 0.3132
1.09 	 0.32155
1.1 	 0.33
1.11 	 0.33855
1.12 	 0.3472
1.13 	 0.35595
1.14 	 0.3648
1.15 	 0.37375
1.16 	 0.3828
1.17 	 0.39195
1.18 	 0.4012
1.19 	 0.41055
1.2 	 0.42
1.21 	 0.42955
1.22 	 0.4392
1.23 	 0.44895
1.24 	 0.4588
1.25 	 0.46875
1.26 	 0.4788
1.27 	 0.48895
1.28 	 0.4992
1.29 	 0.50955
1.3 	 0.52
1.31 	 0.53055
1.32 	 0.5412
1.33 	 0.55195
1.34 	 0.5628
1.35 	 0.57375
1.36 	 0.5848
1.37 	 0.59595
1.38 	 0.6072
1.39 	 0.61855
1.4 	 0.63
1.41 	 0.64155
1.42 	 0.6532
1.43 	 0.66495
1.44 	 0.6768
1.45 	 0.68875
1.46 	 0.7008
1.47 	 0.71295
1.48 	 0.7252
1.49 	 0.73755
1.5 	 0.75
1.51 	 0.76255
1.52 	 0.7752
1.53 	 0.78795
1.54 	 0.8008
1.55 	 0.81375
1.56 	 0.8268
1.57 	 0.83995
1.58 	 0.8532
1.59 	 0.86655
1.6 	 0.88
1.61 	 0.89355
1.62 	 0.9072
1.63 	 0.92095
1.64 	 0.9348
1.65 	 0.94875
1.66 	 0.9628
1.67 	 0.97695
1.68 	 0.9912
1.69 	 1.00555
1.7 	 1.02
1.71 	 1.03455
1.72 	 1.0492
1.73 	 1.06395
1.74 	 1.0788
1.75 	 1.09375
1.76 	 1.1088
1.77 	 1.12395
1.78 	 1.1392
1.79 	 1.15455
1.8 	 1.17
1.81 	 1.18555
1.82 	 1.2012
1.83 	 1.21695
1.84 	 1.2328
1.85 	 1.24875
1.86 	 1.2648
1.87 	 1.28095
1.88 	 1.2972
1.89 	 1.31355
1.9 	 1.33
1.91 	 1.34655
1.92 	 1.3632
1.93 	 1.37995
1.94 	 1.3968
1.95 	 1.41375
1.96 	 1.4308
1.97 	 1.44795
1.98 	 1.4652
1.99 	 1.48255


# xmin 	 f(xmin)
0.25 	 -0.03125
