x 	 u 
-3 	 -0.999979 
-2.95 	 -0.999971 
-2.9 	 -0.99996 
-2.85 	 -0.999945 
-2.8 	 -0.999925 
-2.75 	 -0.9999 
-2.7 	 -0.999866 
-2.65 	 -0.999822 
-2.6 	 -0.999764 
-2.55 	 -0.999689 
-2.5 	 -0.999593 
-2.45 	 -0.999469 
-2.4 	 -0.999311 
-2.35 	 -0.999111 
-2.3 	 -0.998857 
-2.25 	 -0.998537 
-2.2 	 -0.998137 
-2.15 	 -0.997638 
-2.1 	 -0.99702 
-2.05 	 -0.996258 
-2 	 -0.995322 
-1.95 	 -0.994179 
-1.9 	 -0.99279 
-1.85 	 -0.991111 
-1.8 	 -0.98909 
-1.75 	 -0.986672 
-1.7 	 -0.983791 
-1.65 	 -0.980376 
-1.6 	 -0.976349 
-1.55 	 -0.971623 
-1.5 	 -0.966106 
-1.45 	 -0.959696 
-1.4 	 -0.952286 
-1.35 	 -0.943763 
-1.3 	 -0.934009 
-1.25 	 -0.922901 
-1.2 	 -0.910315 
-1.15 	 -0.896125 
-1.1 	 -0.880206 
-1.05 	 -0.862438 
-1 	 -0.842702 
-0.95 	 -0.820892 
-0.9 	 -0.796909 
-0.85 	 -0.770669 
-0.8 	 -0.742102 
-0.75 	 -0.711156 
-0.7 	 -0.677802 
-0.65 	 -0.64203 
-0.6 	 -0.603856 
-0.55 	 -0.563324 
-0.5 	 -0.5205 
-0.45 	 -0.475482 
-0.4 	 -0.428392 
-0.35 	 -0.379382 
-0.3 	 -0.328627 
-0.25 	 -0.276326 
-0.2 	 -0.222703 
-0.15 	 -0.167996 
-0.1 	 -0.112463 
-0.05 	 -0.056372 
-2.28983e-15 	 -2.5838e-15 
0.05 	 0.056372 
0.1 	 0.112463 
0.15 	 0.167996 
0.2 	 0.222703 
0.25 	 0.276326 
0.3 	 0.328627 
0.35 	 0.379382 
0.4 	 0.428392 
0.45 	 0.475482 
0.5 	 0.5205 
0.55 	 0.563324 
0.6 	 0.603856 
0.65 	 0.64203 
0.7 	 0.677802 
0.75 	 0.711156 
0.8 	 0.742102 
0.85 	 0.770669 
0.9 	 0.796909 
0.95 	 0.820892 
1 	 0.842702 
1.05 	 0.862438 
1.1 	 0.880206 
1.15 	 0.896125 
1.2 	 0.910315 
1.25 	 0.922901 
1.3 	 0.934009 
1.35 	 0.943763 
1.4 	 0.952286 
1.45 	 0.959696 
1.5 	 0.966106 
1.55 	 0.971623 
1.6 	 0.976349 
1.65 	 0.980376 
1.7 	 0.983791 
1.75 	 0.986672 
1.8 	 0.98909 
1.85 	 0.991111 
1.9 	 0.99279 
1.95 	 0.994179 
2 	 0.995322 
2.05 	 0.996258 
2.1 	 0.99702 
2.15 	 0.997638 
2.2 	 0.998137 
2.25 	 0.998537 
2.3 	 0.998857 
2.35 	 0.999111 
2.4 	 0.999311 
2.45 	 0.999469 
2.5 	 0.999593 
2.55 	 0.999689 
2.6 	 0.999764 
2.65 	 0.999822 
2.7 	 0.999866 
2.75 	 0.9999 
2.8 	 0.999925 
2.85 	 0.999945 
2.9 	 0.99996 
2.95 	 0.999971 
3 	 0.999979 
