rmax = 8, e = -0.499975

r 	 Fe(e,r) 	 exact
0 0 0
0.08 0.0738492 0.0738493
0.16 0.136343 0.136343
0.24 0.18879 0.188791
0.32 0.232367 0.232368
0.4 0.268127 0.268128
0.48 0.297015 0.297016
0.56 0.319876 0.319877
0.64 0.337466 0.337467
0.72 0.35046 0.350462
0.8 0.359461 0.359463
0.88 0.365006 0.365009
0.96 0.367573 0.367577
1.04 0.367588 0.367593
1.12 0.365428 0.365433
1.2 0.361426 0.361433
1.28 0.35588 0.355888
1.36 0.34905 0.349059
1.44 0.341166 0.341176
1.52 0.33243 0.332442
1.6 0.323021 0.323034
1.68 0.313094 0.313108
1.76 0.302783 0.302799
1.84 0.292206 0.292224
1.92 0.281466 0.281485
2 0.270649 0.270671
2.08 0.259831 0.259855
2.16 0.249077 0.249102
2.24 0.23844 0.238467
2.32 0.227965 0.227995
2.4 0.217691 0.217723
2.48 0.207649 0.207683
2.56 0.197863 0.1979
2.64 0.188354 0.188394
2.72 0.179137 0.179179
2.8 0.170223 0.170268
2.88 0.16162 0.161668
2.96 0.153332 0.153384
3.04 0.145363 0.145418
3.12 0.137712 0.13777
3.2 0.130377 0.130439
3.28 0.123355 0.123421
3.36 0.11664 0.11671
3.44 0.110228 0.110303
3.52 0.104111 0.10419
3.6 0.0982815 0.0983654
3.68 0.0927314 0.0928205
3.76 0.0874523 0.0875469
3.84 0.0824352 0.0825354
3.92 0.0776708 0.0777771
4 0.0731499 0.0732626
4.08 0.068863 0.0689825
4.16 0.0648007 0.0649274
4.24 0.0609537 0.0610882
4.32 0.0573129 0.0574555
4.4 0.0538691 0.0540203
4.48 0.0506133 0.0507737
4.56 0.0475369 0.047707
4.64 0.0446312 0.0448117
4.72 0.0418881 0.0420796
4.8 0.0392993 0.0395028
4.88 0.0368574 0.0370734
4.96 0.0345548 0.0347841
5.04 0.0323841 0.0326277
5.12 0.0303385 0.0305972
5.2 0.0284112 0.0286861
5.28 0.0265957 0.026888
5.36 0.0248859 0.0251969
5.44 0.0232762 0.0236068
5.52 0.0217606 0.0221123
5.6 0.0203339 0.020708
5.68 0.0189908 0.019389
5.76 0.0177265 0.0181504
5.84 0.0165362 0.0169876
5.92 0.0154155 0.0158964
6 0.0143602 0.0148725
6.08 0.0133662 0.0139121
6.16 0.0124296 0.0130115
6.24 0.0115467 0.0121671
6.32 0.0107141 0.0113756
6.4 0.00992825 0.010634
6.48 0.00918618 0.00993909
6.56 0.00848478 0.00928821
6.64 0.00782113 0.00867866
6.72 0.00719247 0.00810794
6.8 0.00659615 0.00757367
6.88 0.00602961 0.00707363
6.96 0.00549043 0.00660571
7.04 0.00497632 0.00616793
7.12 0.00448504 0.00575842
7.2 0.00401441 0.00537542
7.28 0.00356234 0.00501727
7.36 0.00312681 0.00468242
7.44 0.00270584 0.0043694
7.52 0.00229753 0.00407684
7.6 0.00189999 0.00380343
7.68 0.00151147 0.00354797
7.76 0.0011301 0.0033093
7.84 0.000754103 0.00308637
7.92 0.000381699 0.00287815
