iteration 	 x 	 y 	 f 	 size
1 	 1 	 2 	 100 	 0.667
2 	 1 	 2 	 100 	 0.667
3 	 1.5 	 2.25 	 0.25 	 0.486
4 	 1.5 	 2.25 	 0.25 	 0.313
5 	 1.5 	 2.25 	 0.25 	 0.257
6 	 1.5 	 2.25 	 0.25 	 0.241
7 	 1.5 	 2.25 	 0.25 	 0.237
8 	 1.5 	 2.25 	 0.25 	 0.159
9 	 1.42 	 2.01 	 0.241 	 0.133
10 	 1.42 	 2.01 	 0.241 	 0.112
11 	 1.27 	 1.58 	 0.179 	 0.222
12 	 1.39 	 1.92 	 0.149 	 0.194
13 	 1.23 	 1.5 	 0.0813 	 0.194
14 	 1.23 	 1.5 	 0.0813 	 0.186
15 	 1.23 	 1.5 	 0.0813 	 0.109
16 	 1.25 	 1.58 	 0.0726 	 0.111
17 	 1.16 	 1.33 	 0.0576 	 0.111
18 	 1.18 	 1.41 	 0.0456 	 0.111
19 	 1.18 	 1.41 	 0.0456 	 0.0622
20 	 1.18 	 1.39 	 0.034 	 0.0403
21 	 1.12 	 1.24 	 0.0166 	 0.0789
22 	 1.12 	 1.24 	 0.0166 	 0.0676
23 	 1.07 	 1.13 	 0.00426 	 0.101
24 	 1.07 	 1.13 	 0.00426 	 0.0659
25 	 1.07 	 1.13 	 0.00426 	 0.0659
26 	 1.07 	 1.13 	 0.00426 	 0.0659
27 	 0.993 	 0.988 	 0.000792 	 0.0747
28 	 0.993 	 0.988 	 0.000792 	 0.0687
29 	 0.993 	 0.988 	 0.000792 	 0.0379
30 	 1.01 	 1.03 	 0.000291 	 0.0379
31 	 1.01 	 1.03 	 0.000291 	 0.0379
32 	 0.993 	 0.988 	 0.000204 	 0.0379
33 	 0.988 	 0.977 	 0.000137 	 0.025
34 	 1 	 1.01 	 8.58e-06 	 0.0132
35 	 1 	 1.01 	 8.58e-06 	 0.0132
converged to minimum at
36 	 1 	 1.01 	 8.58e-06 	 0.0078
