phi	 u1	 u2	 u3
0	 1	 1	 1
0.1	 1	 0.950083	 0.950132
0.2	 1	 0.900665	 0.900852
0.3	 1	 0.85224	 0.852644
0.4	 1	 0.805291	 0.805981
0.5	 1	 0.760287	 0.761321
0.6	 1	 0.717679	 0.719104
0.7	 1	 0.677891	 0.679746
0.8	 1	 0.641322	 0.643634
0.9	 1	 0.608336	 0.611123
1	 1	 0.579264	 0.582536
1.1	 1	 0.554396	 0.558154
1.2	 1	 0.53398	 0.538218
1.3	 1	 0.51822	 0.522924
1.4	 1	 0.507274	 0.512425
1.5	 1	 0.501252	 0.506824
1.6	 1	 0.500212	 0.506176
1.7	 1	 0.504167	 0.510488
1.8	 1	 0.513075	 0.519717
1.9	 1	 0.526849	 0.533772
2	 1	 0.54535	 0.552514
2.1	 1	 0.568394	 0.575757
2.2	 1	 0.595751	 0.603273
2.3	 1	 0.627146	 0.634789
2.4	 1	 0.662267	 0.669994
2.5	 1	 0.700763	 0.708542
2.6	 1	 0.742248	 0.750052
2.7	 1	 0.786309	 0.794116
2.8	 1	 0.832505	 0.840299
2.9	 1	 0.880375	 0.88815
3	 1	 0.929439	 0.937196
3.1	 1	 0.979209	 0.986958
3.2	 1	 1.02919	 1.03695
3.3	 1	 1.07887	 1.08668
3.4	 1	 1.12777	 1.13566
3.5	 1	 1.17539	 1.18341
3.6	 1	 1.22126	 1.22947
3.7	 1	 1.26492	 1.27339
3.8	 1	 1.30593	 1.31474
3.9	 1	 1.34388	 1.35312
4	 1	 1.3784	 1.38815
4.1	 1	 1.40914	 1.41949
4.2	 1	 1.43579	 1.44685
4.3	 1	 1.45809	 1.46995
4.4	 1	 1.4758	 1.48857
4.5	 1	 1.48877	 1.50253
4.6	 1	 1.49685	 1.5117
4.7	 1	 1.49996	 1.51598
4.8	 1	 1.49809	 1.51533
4.9	 1	 1.49123	 1.50977
5	 1	 1.47947	 1.49933
5.1	 1	 1.46291	 1.48414
5.2	 1	 1.44173	 1.46432
5.3	 1	 1.41614	 1.44009
5.4	 1	 1.38639	 1.41166
5.5	 1	 1.35277	 1.37931
5.6	 1	 1.31564	 1.34337
5.7	 1	 1.27535	 1.30418
5.8	 1	 1.2323	 1.26212
5.9	 1	 1.18694	 1.21759
6	 1	 1.13971	 1.17104
6.1	 1	 1.09108	 1.12292
6.2	 1	 1.04155	 1.0737
6.3	 1	 0.991594	 1.02386
6.4	 1	 0.941726	 0.973879
6.5	 1	 0.89244	 0.924258
6.6	 1	 0.844229	 0.875478
6.7	 1	 0.797574	 0.828019
6.8	 1	 0.752942	 0.782347
6.9	 1	 0.710778	 0.738912
7	 1	 0.671504	 0.698139
7.1	 1	 0.635513	 0.660431
7.2	 1	 0.603163	 0.62616
7.3	 1	 0.574778	 0.595663
7.4	 1	 0.550642	 0.569242
7.5	 1	 0.530996	 0.547157
7.6	 1	 0.516036	 0.529627
7.7	 1	 0.505911	 0.516824
7.8	 1	 0.500723	 0.508876
7.9	 1	 0.500524	 0.505861
8	 1	 0.505315	 0.507809
8.1	 1	 0.51505	 0.514701
8.2	 1	 0.529629	 0.526468
8.3	 1	 0.548909	 0.542994
8.4	 1	 0.572695	 0.564116
8.5	 1	 0.600751	 0.589625
8.6	 1	 0.632797	 0.619269
8.7	 1	 0.668511	 0.652756
8.8	 1	 0.707537	 0.689755
8.9	 1	 0.749486	 0.729901
9	 1	 0.793937	 0.7728
9.1	 1	 0.840448	 0.818028
9.2	 1	 0.888553	 0.865141
9.3	 1	 0.937771	 0.913677
9.4	 1	 0.987611	 0.963158
9.5	 1	 1.03757	 1.0131
9.6	 1	 1.08716	 1.06302
9.7	 1	 1.13588	 1.11241
9.8	 1	 1.18324	 1.16081
9.9	 1	 1.22877	 1.20774
10	 1	 1.27201	 1.25273
10.1	 1	 1.31254	 1.29536
10.2	 1	 1.34994	 1.3352
10.3	 1	 1.38385	 1.37188
10.4	 1	 1.41392	 1.40502
10.5	 1	 1.43985	 1.43432
10.6	 1	 1.46139	 1.45948
10.7	 1	 1.47832	 1.48026
10.8	 1	 1.49047	 1.49647
10.9	 1	 1.49773	 1.50793
11	 1	 1.5	 1.51455
11.1	 1	 1.49728	 1.51626
11.2	 1	 1.4896	 1.51304
11.3	 1	 1.47702	 1.50492
11.4	 1	 1.45967	 1.49198
11.5	 1	 1.43773	 1.47435
11.6	 1	 1.41142	 1.45219
11.7	 1	 1.381	 1.42573
11.8	 1	 1.34677	 1.39522
11.9	 1	 1.30907	 1.36095
12	 1	 1.26829	 1.32326
12.1	 1	 1.22483	 1.28252
12.2	 1	 1.17912	 1.23912
12.3	 1	 1.13162	 1.19348
12.4	 1	 1.08281	 1.14605
12.5	 1	 1.03316	 1.09729
